Title,Société,Pertinent
Arkema s'engage dans la transition écologique en Amérique du Nord avec des accords d'approvisionnement en énergie verte à long terme,Arkema,Oui
Arkema s'engage dans la transition énergétique aux Etats-Unis en signant des accords à long terme pour une fourniture d'énergie renouvelable fiable et durable,Arkema,Oui
Arkema : Une chute brutale des bénéfices en perspective pour 2023,Arkema,Oui
Berenberg révise sa recommandation pour Arkema à la baisse : le groupe chimique sous surveillance,Arkema,Oui
Arkema renforce sa solidité financière en émettant 400 millions d'euros d'obligations hybrides pour faire face à l'avenir incertain de l'économie mondiale,Arkema,Oui
« Polluants éternels » dans l’eau potable : la Métropole de Lyon attaque Arkema et Daikin,Arkema,Non
"""Polluants éternels"": la Métropole de Lyon attaque Arkema et Daikin au civil",Arkema,Oui
« Polluants éternels » : la Métropole de Lyon attaque Arkema et Daikin au civil,Arkema,Non
Santé. «Polluants éternels»: la Métropole de Lyon assigne Arkema et Daikin en justice,Arkema,Non
Lyon : deux industriels assignés en justice pour la présence de «polluants éternels» dans l’eau potable,Arkema,Non
Polluants éternels : La Métropole de Lyon attaque Arkema et Daikin en justice pour payer les travaux de décontamination,Arkema,Non
« Polluants éternels » : la Métropole de Lyon assigne en justice Arkema et Daikin suite aux rejets de perfluorés,Arkema,Non
Vallée de la chimie: la métropole de Lyon porte plainte contre Arkema et Daikin,Arkema,Oui
"""Polluants éternels"" : la Métropole de Lyon assigne Arkema et Daikin en justice",Arkema,Non
Rhône. Pollution aux PFAS à Oullins-Pierre-Bénite : qui va payer et combien ?,Arkema,Non
"""Polluants éternels"": la métropole de Lyon saisit la justice pour faire appliquer le ""principe pollueur-payeur"" à Arkema et Daikin",Arkema,Non
"""Polluants éternels"": Bruno Bernard veut ""faire appliquer le principe de 'pollueur-payeur'"" à Arkema et Daikin",Arkema,Oui
Rhône. PFAS : comment les industriels dans le collimateur se défendent,Arkema,Non
Fleury-Paris FC : à quelle heure et sur quelle chaîne suivre le match de la 18e journée de D1 Arkema ?,Arkema,Non
Fleury s'offre le Paris FC en D1 Arkema,Arkema,Non
D1 Arkema : Lyon surclasse largement Lille 7-0,Arkema,Non
"Dijon, Saint-Étienne et Reims s'imposent en D1 Arkema",Arkema,Non
"VIDEO. D1 féminine : ""Vous attendez la catastrophe ? !"", l’internationale française Kadidiatou Diani enrage contre l’arbitrage",Arkema,Non
Marseille: manifestation de riverains contre un projet d'incinérateur au sein du site d'Arkema,Arkema,Non
